Date,New Cases,Total Cases
"2020-04-10",3561,54588
"2020-04-09",3590,51027
"2020-04-08",3021,47437
"2020-04-07",3326,44416
"2020-04-06",3585,41090
"2020-04-05",3381,37505
"2020-04-04",4229,34124
"2020-04-03",4305,29895
"2020-04-02",3335,25590
"2020-04-01",3559,22255
"2020-03-31",2060,18696
"2020-03-30",3250,16636
"2020-03-29",2262,13386
"2020-03-28",2299,11124
"2020-03-27",1949,8825
"2020-03-26",2474,6876
"2020-03-25",727,4402
"2020-03-24",831,3675
"2020-03-23",930,2844
"2020-03-22",587,1914
"2020-03-21",437,1327
"2020-03-20",148,890
"2020-03-19",315,742
"2020-03-18",160,427
"2020-03-17",89,267
"2020-03-16",80,178
"2020-03-15",48,98
"2020-03-14",0,50
"2020-03-13",20,50
"2020-03-12",6,30
"2020-03-11",9,24
"2020-03-10",4,15
"2020-03-09",5,11
"2020-03-08",2,6
"2020-03-07",3,4
"2020-03-06",0,1
"2020-03-05",1,1
